delay_(ps),threefold_(counts_per_600s),threefolderr_(counts_per_600s)
40.0,241.0,15.524174696260024
80.0,206.0,14.352700094407323
120.0,247.0,15.716233645501712
160.0,217.0,14.730919862656235
200.0,243.0,15.588457268119896
240.0,240.0,15.491933384829668
280.0,214.0,14.628738838327793
320.0,222.0,14.89966442575134
360.0,212.0,14.560219778561036
400.0,218.0,14.7648230602334
440.0,203.0,14.247806848775006
480.0,175.0,13.228756555322953
520.0,165.0,12.84523257866513
560.0,125.0,11.180339887498949
600.0,124.0,11.135528725660043
640.0,91.0,9.539392014169456
680.0,64.0,8.0
720.0,70.0,8.366600265340756
760.0,77.0,8.774964387392123
800.0,84.0,9.16515138991168
840.0,106.0,10.295630140987
880.0,138.0,11.74734012447073
920.0,170.0,13.038404810405298
960.0,197.0,14.035668847618199
1000.0,185.0,13.601470508735444
1040.0,227.0,15.066519173319364
1080.0,210.0,14.491376746189438
1120.0,233.0,15.264337522473747
1160.0,230.0,15.165750888103101
1200.0,215.0,14.66287829861518
1240.0,209.0,14.45683229480096
1280.0,237.0,15.394804318340652
1320.0,229.0,15.132745950421556
1360.0,223.0,14.933184523068078
