delay_(ps),twofold1_(counts_per_10s),twofold1err_(counts_per_10s),twofold2_(counts_per_10s),twofold2err_(counts_per_10s)
40.0,607.0,24.63736998950984,541.0,23.259406699226016
80.0,585.0,24.186773244895647,547.0,23.388031127053
120.0,596.0,24.413111231467404,541.0,23.259406699226016
160.0,567.0,23.811761799581316,551.0,23.473389188611005
200.0,591.0,24.310491562286437,593.0,24.351591323771842
240.0,567.0,23.811761799581316,581.0,24.1039415863879
280.0,563.0,23.727621035409346,553.0,23.515952032609693
320.0,548.0,23.40939982143925,564.0,23.748684174075834
360.0,586.0,24.20743687382041,555.0,23.558437978779494
400.0,532.0,23.065125189341593,566.0,23.790754506740637
440.0,535.0,23.130067012440755,558.0,23.62202362203543
480.0,570.0,23.874672772626646,545.0,23.345235059857504
520.0,583.0,24.145392935299274,590.0,24.289915602982237
560.0,483.0,21.97726097583591,527.0,22.956480566497994
600.0,583.0,24.145392935299274,537.0,23.173260452512935
640.0,482.0,21.95449840010015,448.0,21.166010488516726
680.0,511.0,22.60530911091463,498.0,22.315913604421397
720.0,464.0,21.540659228538015,512.0,22.627416997969522
760.0,484.0,22.0,527.0,22.956480566497994
800.0,520.0,22.80350850198276,518.0,22.759613353482084
840.0,543.0,23.302360395462088,512.0,22.627416997969522
880.0,513.0,22.64950330581225,537.0,23.173260452512935
920.0,558.0,23.62202362203543,560.0,23.664319132398465
960.0,574.0,23.958297101421877,552.0,23.49468024894146
1000.0,561.0,23.68543856465402,600.0,24.49489742783178
1040.0,586.0,24.20743687382041,587.0,24.228082879171435
1080.0,593.0,24.351591323771842,569.0,23.853720883753127
1120.0,560.0,23.664319132398465,584.0,24.166091947189145
1160.0,581.0,24.1039415863879,580.0,24.08318915758459
1200.0,568.0,23.83275057562597,552.0,23.49468024894146
1240.0,555.0,23.558437978779494,584.0,24.166091947189145
